Date,Result,Defender_Sum,Forward_Sum,Goalkeeper_Sum,Midfielder_Sum,Win
2022-04-12,L,53.95819716236717,19.084122807017543,12.16,31.242657365157363,0
2022-04-17,W,22.4,44.979088639200995,15.78,22.48638888888889,1
2022-04-20,W,53.9,42.816853932584266,15.16,43.61162426614481,1
2022-04-26,L,49.9,34.14053473263368,12.1,15.28750915750916,0
2022-04-30,W,32.36666666666667,62.12139848979652,18.18,56.04024959897021,1
2022-05-04,W,43.75739130434783,47.800882329625736,12.86,25.05537913643689,1
2022-05-08,L,40.886372485399086,15.8,19.06,32.61641791044776,0
2022-05-12,W,48.778888888888886,99.68539295372251,18.66,43.322695195195195,1
2022-05-28,W,59.400000000000006,34.47382683410443,12.3,18.281348314606742,1
2022-08-14,W,25.865753424657534,31.364363143631437,17.72,45.08564969333904,1
2022-08-20,W,40.15298540468819,63.04390243902439,15.56,45.76603337612323,1
2022-08-28,W,34.93571428571428,51.163636363636364,16.119999999999997,53.54752710314336,1
2022-09-03,W,22.92808988764045,49.12223427767732,18.34,56.140891355366655,1
2022-09-06,W,34.9,71.51045271138443,18.14,23.736222624070727,1
2022-09-11,W,34.739285714285714,55.416168582375484,17.64,56.12907828282829,1
2022-09-14,W,25.4,45.651428571428575,18.0,34.39785714285714,1
2022-09-18,W,50.185472972972974,30.53529411764706,16.880000000000003,37.675294117647056,1
2022-10-05,W,14.899999999999999,68.99620253164558,19.28,34.986418918918915,1
2022-10-08,W,54.92439024390244,14.945252525252524,18.86,24.0150135501355,1
2022-10-16,W,39.52068965517241,43.11896551724138,16.419999999999998,23.556103896103895,1
2022-10-19,W,26.641379310344828,29.508860759493672,18.78,38.01357844894263,1
2022-10-22,W,20.99520123839009,33.3,18.06,50.26665702718334,1
2022-10-25,L,45.504278074866306,46.81666666666667,19.32,21.543333333333337,0
2022-11-02,W,51.440898617511515,67.08225806451614,17.619999999999997,38.13230769230769,1
2022-11-07,L,34.97142857142857,18.313333333333333,16.119999999999997,19.982458521870285,0
2022-11-10,W,24.4,14.251111111111111,14.46,39.02047619047619,1
2022-12-30,W,26.16271186440678,45.15777263024468,15.84,42.86214470284237,1
2023-01-07,L,31.066666666666663,30.32,16.78,34.83105590062112,0
2023-01-22,W,43.4,36.65134146341463,13.919999999999998,21.051428571428573,1
2023-02-02,W,37.77662337662338,56.8486604702023,19.2,37.98,1
2023-02-05,L,24.822222222222223,19.085714285714285,17.86,52.140634920634916,0
2023-02-15,W,34.60149253731343,45.8643759018759,18.82,47.43696301103179,1
2023-02-18,W,42.4,51.310651340996166,17.96,16.3091452991453,1
2023-02-21,W,51.06826923076923,59.81621447028424,10.28,23.529250645994836,1
2023-03-11,W,22.81888888888889,46.49267888823182,15.56,55.02945398417904,1
2023-03-15,W,30.752941176470586,49.77724230254351,13.34,27.036385542168677,1
2023-03-19,L,37.514754098360655,12.683333333333334,16.840000000000003,42.547904654230265,0
2023-04-02,W,38.383529411764705,116.460014768728,17.84,17.98,1
2023-04-08,L,46.9,31.967892720306512,16.0,58.93030927703092,0
2023-04-12,W,53.364285714285714,58.76428571428572,19.0,39.85481927710843,1
2023-04-15,W,39.627272727272725,40.06582278481012,18.380000000000003,48.390494821634064,1
2023-04-18,W,68.78888888888889,42.60099206349206,15.759999999999998,18.682222222222222,1
2023-04-22,W,11.816666666666666,41.17083333333333,18.24,30.1075,1
2023-04-25,L,44.12850678733031,40.16538461538462,17.14,44.138571428571424,0
2023-04-29,W,28.73111111111111,70.00218186310848,20.0,41.015508607198754,1
2023-05-02,L,34.50492063492064,4.421111111111111,17.080000000000002,18.414695340501794,0
2023-05-13,W,29.357777777777777,23.8,17.78,45.04668005354752,1
2023-05-17,L,28.457693389592123,19.41424242424242,12.64,16.609648796807534,0
2023-05-21,L,20.958823529411767,17.44622893258427,17.58,39.95550653594771,0
2023-05-24,W,25.86672086720867,14.6,17.14,73.94064004096262,1
2023-05-27,W,36.81602564102564,17.601388888888888,16.580000000000002,24.819999999999997,1
2023-08-12,W,46.621254355400694,33.49574223245109,18.54,34.65714285714286,1
2023-08-19,W,31.4,58.70675524432488,19.24,66.6796411916535,1
2023-08-25,W,30.956962025316457,13.7,16.259999999999998,34.38894290559638,1
2023-09-02,W,44.800000000000004,28.200000000000003,15.48,74.42040734748264,1
2023-09-17,W,30.016438356164386,32.994998517388915,15.24,40.8706398062595,1
2023-09-20,W,20.65,22.7,19.4,67.43174050632912,1
2023-09-24,L,40.24978991596639,6.25,18.1,48.80529046401169,0
2023-09-27,W,38.392105263157895,40.34705882352941,17.78,41.51166961521451,1
2023-09-30,W,26.93259675405743,29.438624873609704,15.0,51.18044937503513,1
2023-10-03,W,40.542857142857144,22.047118202539888,15.88,46.71033653846154,1
2023-10-07,W,18.092307692307692,53.1058561897702,20.0,47.48724882974698,1
2023-10-24,W,17.332432432432434,40.522907647907644,17.3,25.53222222222222,1
2023-10-28,W,52.95882352941176,5.5014161445658365,15.0,44.251059907834104,1
2023-11-08,W,24.31161907905595,51.213157894736845,18.34,40.22236081070256,1
2023-11-11,W,33.92968253968254,47.2,18.0,43.788352729828944,1
2023-11-26,W,27.000114942528732,27.867373737373732,16.36,58.351813553762575,1
2023-11-29,W,46.67906976744186,74.64362023103816,17.14,20.09952380952381,1
2023-12-02,W,20.9,27.777149282501604,18.52,35.64,1
2023-12-12,W,25.757142857142853,32.89620253164557,19.48,49.61978776529338,1
2023-12-17,W,36.417857142857144,39.33253012048193,18.1,57.25768231768232,1
2023-12-21,W,43.8375681341719,5.12808988764045,18.52,32.18,1
2024-01-03,W,20.9,21.164548540757654,16.52,35.91924955870426,1
2024-01-21,W,32.9,25.700000000000003,18.700000000000003,51.03036576949621,1
2024-01-27,W,22.301111111111112,26.071803995006242,18.92,55.012547892720306,1
2024-02-01,W,25.85,44.50766542404473,16.28,35.54586206896551,1
2024-02-10,W,30.992105263157896,45.82912716574044,17.42,55.14548227986847,1
2024-02-13,W,31.4,18.545127175368137,15.14,30.65800535475234,1
2024-02-25,W,4.8822222222222225,9.849450686641697,17.78,37.67777777777778,1
2024-03-10,W,42.9,72.49700046394648,17.24,40.4036136809644,1
2024-03-16,W,25.99968253968254,59.357724122512856,15.16,19.838410345111605,1
2024-03-31,W,21.956179775280898,29.38661971830986,16.36,35.724999999999994,1
2024-04-13,W,23.405617977528088,28.605299539170506,16.580000000000002,23.14739495798319,1
2024-04-21,W,31.93023342670401,40.67,13.36,32.311428571428564,1
2024-04-26,W,41.6,27.025936981757877,15.3,17.202302543507365,1
2024-05-04,W,23.4,70.50192307692308,18.0,44.326444188722675,1
2024-05-08,W,18.40111111111111,42.07500000000001,14.66,43.752573262003054,1
2024-05-11,W,50.45590062111801,37.8,17.5,42.15304347826087,1
2024-05-14,W,15.801408450704225,29.700000000000003,18.700000000000003,76.5354986460437,1
2024-06-01,W,40.401111111111106,14.756117353308364,16.52,50.20072829131652,1
2024-08-25,W,40.4,80.86619556913675,18.66,20.620802139037433,1
2024-09-01,W,45.66201923076923,41.3725897529512,19.040000000000003,38.67388888888889,1
2024-09-14,W,44.9,33.87303370786517,16.0,23.392631578947366,1
2024-09-17,W,52.5,63.14268905268905,16.36,32.950828332066635,1
2024-09-21,W,32.856034482758616,81.18052208835341,18.66,33.015903614457834,1
2024-09-24,W,35.02769338959212,49.48965731169484,17.78,33.116898395721925,1
2024-10-02,L,37.57650793650794,14.235714285714286,18.26,47.95165478312537,0
2024-10-05,W,33.57222222222222,17.83296703296703,17.64,49.32236846798645,1
2024-10-19,W,26.617391304347827,27.99888888888889,15.38,51.958796722990265,1
2024-10-22,W,12.899999999999999,42.63322097378277,19.14,54.463456393793464,1
2024-10-26,L,48.78235294117647,10.2,13.159999999999998,31.141203007518797,0
2024-11-05,L,25.9,29.200000000000003,20.0,74.8396610062496,0
2024-11-09,W,20.565658564160543,44.55257948830966,18.82,33.589459459459455,1
2024-11-24,W,33.9,43.40625575092961,18.46,46.06672672672673,1
2024-11-27,L,37.77475256769374,7.3,12.0,31.356465919701215,0
2024-12-01,W,18.4,24.686969696969697,16.599999999999998,39.276666666666664,1
2024-12-04,L,35.337553366174056,10.786206896551723,15.34,44.14364092048302,0
2024-12-07,W,22.05,31.65573232323232,18.0,53.21,1
2024-12-10,W,47.40777777777778,59.366780194370556,14.0,26.729789857102833,1
2024-12-22,W,30.52984126984127,75.61428571428571,14.419999999999998,25.50316624895572,1
2025-01-03,W,30.714730694354316,11.239594336012246,17.5,41.4133978096999,1
2025-01-19,W,20.274625322997416,77.62168674698795,18.52,26.9550135501355,1
2025-01-22,W,38.79803196803197,63.90714285714286,19.0,70.87285714285714,1
2025-01-25,W,12.314925373134328,32.10056179775281,18.26,46.84145923209226,1
2025-01-29,W,51.288888888888884,29.300000000000004,16.740000000000002,49.91241379310345,1
2025-02-01,L,22.84078199374405,11.799999999999999,20.0,35.0263316711418,0
2025-02-11,W,28.4,31.311248439450686,13.0,55.11705370501614,1
2025-02-19,W,33.47865168539325,41.25994633331712,13.34,36.62837100568808,1
2025-02-23,W,19.135555555555555,40.88426966292135,20.0,50.22385620915033,1
2025-03-01,L,37.77331143951834,12.799999999999997,14.74,37.80521072796935,0
2025-03-04,W,30.34444444444444,4.7,15.84,49.142675111773464,1
2025-03-09,W,39.4,37.67128205128205,18.54,37.018622106857016,1
2025-03-12,L,34.705666198015365,3.8192982456140347,15.68,53.137212301587304,0
2025-03-15,W,62.9,25.833611111111114,15.119999999999996,25.54588701271628,1
2025-03-29,W,38.4,36.73131712832109,20.0,23.009999999999994,1
2025-04-05,L,32.179047619047616,56.60790161678707,0.0,47.2893776106934,0
2025-04-08,L,30.37991452991453,7.199999999999999,13.8,33.88963616907437,0
2025-04-13,W,26.805497076023393,3.7712544802867383,14.36,56.04595037818652,1
2025-04-16,L,26.029284627092846,41.9875503626108,15.16,46.172222222222224,0
2025-04-20,W,17.141463414634146,15.120283050283053,17.9,50.24415356573252,1
2025-04-23,W,35.85,30.537503607503606,13.48,14.884444444444442,1
2025-05-04,W,34.17272727272727,61.62926829268293,16.840000000000003,37.77811442385173,1
2025-05-11,L,39.813908969210175,30.85616858237548,10.84,13.919999999999998,0
2025-05-14,W,38.23333333333333,27.81124809741248,20.0,50.74,1
2025-05-18,W,32.593072424651375,41.689883040935676,17.64,45.675555555555555,1
2025-05-24,W,39.29592769803296,38.550000000000004,16.0,26.075090439276487,1
