Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL,Season, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,3-Jan,PPA,CrsPA,PrgP,SCA SCA,SCA GCA, 1/3
9/12/15,La Liga,Espanyol,Casemiro,14,br BRA,DM,23-201,90,0,0,0,0,2,0,0,0,2,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/15,La Liga,Espanyol,Marcelo,12,br BRA,LB,27-123,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/15,La Liga,Espanyol,Sergio Ramos,4,es ESP,CB,29-166,74,0,0,0,0,0,0,0,0,5,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/15,La Liga,Espanyol,Raphaël Varane,5,fr FRA,"DF,MF",22-140,16,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/15,La Liga,Espanyol,Pepe,3,pt POR,CB,32-198,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/15,La Liga,Espanyol,Dani Carvajal,2,es ESP,RB,23-244,90,0,0,0,0,2,0,0,0,2,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/15,La Liga,Espanyol,Keylor Navas,1,cr CRC,GK,28-271,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/6c8707f0/Espanyol-Real-Madrid-September-12-2015-La-Liga,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Karim Benzema,9,fr FRA,FW,27-270,90,1,0,0,0,6,3,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Cristiano Ronaldo,7,pt POR,AM,30-222,90,3,0,2,2,10,3,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Isco,22,es ESP,AM,23-147,90,0,0,0,0,2,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Gareth Bale,11,wls WAL,AM,26-061,32,0,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Mateo Kovačić,16,hr CRO,MF,21-132,58,0,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Toni Kroos,8,de GER,DM,25-254,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/15,Champions League,Shakhtar Donetsk,Luka Modrić,19,hr CRO,DM,30-006,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/f814492d/Real-Madrid-Shakhtar-Donetsk-September-15-2015-Champions-League,15_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
