Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int,Match URL
12/3/16,La Liga,Barcelona,Marco Asensio,20,es ESP,"FW,MF",20-317,14,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Cristiano Ronaldo,7,pt POR,FW,31-302,90,0,0,0,0,6,3,0,0,0,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Lucas Vázquez,17,es ESP,FW,25-155,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Isco,22,es ESP,CM,24-226,65,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Casemiro,14,br BRA,MF,24-284,25,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Mateo Kovačić,16,hr CRO,CM,22-211,85,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Mariano,18,do DOM,FW,23-124,5,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Luka Modrić,19,hr CRO,CM,31-085,90,0,1,0,0,1,0,0,0,3,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Marcelo,12,br BRA,LB,28-205,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Sergio Ramos,4,es ESP,CB,30-248,90,1,0,0,0,2,1,0,0,2,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Raphaël Varane,5,fr FRA,CB,23-222,90,0,0,0,0,1,1,0,0,2,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Dani Carvajal,2,es ESP,RB,24-327,90,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/3/16,La Liga,Barcelona,Keylor Navas,1,cr CRC,GK,29-354,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/b5cd1031/El-Clasico-Barcelona-Real-Madrid-December-3-2016-La-Liga
12/7/16,Champions League,Dortmund,Karim Benzema,9,fr FRA,FW,28-354,85,2,0,0,0,5,5,0,0,0,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Álvaro Morata,21,es ESP,FW,24-045,5,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Cristiano Ronaldo,7,pt POR,FW,31-306,90,0,0,0,0,3,1,0,0,1,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Lucas Vázquez,17,es ESP,CM,25-159,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,James Rodríguez,10,co COL,FW,25-148,90,0,1,0,0,3,2,0,0,1,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Casemiro,14,br BRA,CM,24-288,90,0,0,0,0,1,0,1,0,3,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Luka Modrić,19,hr CRO,CM,31-089,63,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Toni Kroos,8,de GER,MF,26-338,27,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Marcelo,12,br BRA,LB,28-209,90,0,0,0,0,2,0,0,0,2,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Sergio Ramos,4,es ESP,CB,30-252,90,0,0,0,0,1,1,0,0,3,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Raphaël Varane,5,fr FRA,CB,23-226,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Dani Carvajal,2,es ESP,RB,24-331,90,0,1,0,0,0,0,0,0,1,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/7/16,Champions League,Dortmund,Keylor Navas,1,cr CRC,GK,29-358,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/71335c58/Real-Madrid-Dortmund-December-7-2016-Champions-League
12/10/16,La Liga,Deportivo La Coruna,Álvaro Morata,21,es ESP,FW,24-048,90,1,0,0,0,4,2,1,0,0,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,James Rodríguez,10,co COL,AM,25-151,90,0,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Marco Asensio,20,es ESP,AM,20-324,64,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Lucas Vázquez,17,es ESP,"DF,FW",25-162,26,0,1,0,0,0,0,0,0,0,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Isco,22,es ESP,AM,24-233,70,0,1,0,0,2,0,0,0,0,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Mariano,18,do DOM,FW,23-131,20,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Toni Kroos,8,de GER,DM,26-341,90,0,1,0,0,3,0,0,0,1,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Casemiro,14,br BRA,DM,24-291,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Nacho,6,es ESP,LB,26-327,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Sergio Ramos,4,es ESP,CB,30-255,90,1,0,0,0,2,1,1,0,3,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Pepe,3,pt POR,CB,33-288,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Danilo,23,br BRA,RB,25-148,79,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Marcelo,12,br BRA,"DF,MF",28-212,11,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
12/10/16,La Liga,Deportivo La Coruna,Keylor Navas,1,cr CRC,GK,29-361,90,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/b8045bd4/Real-Madrid-Deportivo-La-Coruna-December-10-2016-La-Liga
1/7/17,La Liga,Granada,Karim Benzema,9,fr FRA,FW,29-019,90,1,1,0,0,4,2,0,0,0,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Cristiano Ronaldo,7,pt POR,FW,31-337,90,1,0,0,0,5,2,0,0,1,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Isco,22,es ESP,FW,24-261,50,2,0,0,0,4,3,0,0,1,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Marco Asensio,20,es ESP,"FW,MF",20-352,40,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Toni Kroos,8,de GER,CM,27-003,45,0,0,0,0,1,1,0,0,1,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,James Rodríguez,10,co COL,"FW,MF",25-179,45,0,1,0,0,2,1,0,0,0,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Casemiro,14,br BRA,CM,24-319,90,1,0,0,0,1,1,1,0,1,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Luka Modrić,19,hr CRO,CM,31-120,90,0,1,0,0,2,2,0,0,3,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Marcelo,12,br BRA,LB,28-240,67,0,1,0,0,3,0,0,0,1,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Fábio Coentrão,15,pt POR,DF,28-302,23,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Nacho,6,es ESP,CB,26-355,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Raphaël Varane,5,fr FRA,CB,23-257,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Dani Carvajal,2,es ESP,RB,24-362,90,0,0,0,0,1,1,0,0,2,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/7/17,La Liga,Granada,Keylor Navas,1,cr CRC,GK,30-023,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/dea75b89/Real-Madrid-Granada-January-7-2017-La-Liga
1/15/17,La Liga,Sevilla,Cristiano Ronaldo,7,pt POR,FW,31-345,90,1,0,1,1,5,3,0,0,1,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Karim Benzema,9,fr FRA,FW,29-027,90,0,0,0,0,2,0,0,0,1,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Toni Kroos,8,de GER,CM,27-011,73,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Mateo Kovačić,16,hr CRO,MF,22-254,17,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Casemiro,14,br BRA,LM,24-327,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Luka Modrić,19,hr CRO,CM,31-128,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Marcelo,12,br BRA,RM,28-248,90,0,0,0,0,1,0,1,0,1,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Dani Carvajal,2,es ESP,CB,25-004,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Nacho,6,es ESP,LB,26-363,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Sergio Ramos,4,es ESP,RB,30-291,90,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Raphaël Varane,5,fr FRA,CB,23-265,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/15/17,La Liga,Sevilla,Keylor Navas,1,cr CRC,GK,30-031,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/cbbc2870/Sevilla-Real-Madrid-January-15-2017-La-Liga
1/21/17,La Liga,Malaga,Karim Benzema,9,fr FRA,FW,29-033,81,0,0,0,0,3,0,0,0,0,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Álvaro Morata,21,es ESP,FW,24-090,9,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Cristiano Ronaldo,7,pt POR,FW,31-351,90,0,0,0,0,4,3,0,0,0,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Lucas Vázquez,17,es ESP,FW,25-204,90,0,0,0,0,2,1,1,0,3,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Toni Kroos,8,de GER,CM,27-017,90,0,2,0,0,0,0,0,0,1,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Casemiro,14,br BRA,CM,24-333,90,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Luka Modrić,19,hr CRO,CM,31-134,77,0,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Mateo Kovačić,16,hr CRO,MF,22-260,13,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Marcelo,12,br BRA,RB,28-254,24,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Isco,22,es ESP,"FW,MF",24-275,66,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Sergio Ramos,4,es ESP,CB,30-297,90,2,0,0,0,2,2,0,0,2,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Raphaël Varane,5,fr FRA,CB,23-271,90,0,0,0,0,1,0,0,0,4,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Nacho,6,es ESP,LB,27-003,90,0,0,0,0,0,0,0,0,4,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/21/17,La Liga,Malaga,Keylor Navas,1,cr CRC,GK,30-037,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/97aababb/Real-Madrid-Malaga-January-21-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Karim Benzema,9,fr FRA,FW,29-041,65,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Álvaro Morata,21,es ESP,FW,24-098,25,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Cristiano Ronaldo,7,pt POR,FW,31-359,90,1,1,0,0,2,1,0,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Lucas Vázquez,17,es ESP,FW,25-212,83,0,1,0,0,2,1,1,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Marco Asensio,20,es ESP,"FW,MF",21-008,7,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Toni Kroos,8,de GER,CM,27-025,90,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Casemiro,14,br BRA,CM,24-341,90,0,0,0,0,0,0,0,0,3,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Mateo Kovačić,16,hr CRO,CM,22-268,77,1,1,0,0,2,1,0,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Isco,22,es ESP,"FW,MF",24-283,13,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Nacho,6,es ESP,LB,27-011,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Sergio Ramos,4,es ESP,CB,30-305,90,0,0,0,0,0,0,0,0,1,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Raphaël Varane,5,fr FRA,CB,23-279,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Danilo,23,br BRA,RB,25-198,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
1/29/17,La Liga,Real Sociedad,Keylor Navas,1,cr CRC,GK,30-045,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21fc16b7/Real-Madrid-Real-Sociedad-January-29-2017-La-Liga
2/11/17,La Liga,Osasuna,Cristiano Ronaldo,7,pt POR,FW,32-006,90,1,0,0,0,4,2,0,0,0,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Karim Benzema,9,fr FRA,FW,29-054,71,0,1,0,0,2,1,0,0,0,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Lucas Vázquez,17,es ESP,"DF,FW",25-225,19,1,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Isco,22,es ESP,CM,24-296,87,1,0,0,0,2,2,0,0,1,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Mateo Kovačić,16,hr CRO,MF,22-281,3,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Casemiro,14,br BRA,CM,24-354,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Luka Modrić,19,hr CRO,CM,31-155,90,0,0,0,0,0,0,1,0,1,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Marcelo,12,br BRA,LB,28-275,90,0,1,0,0,1,0,0,0,1,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Danilo,23,br BRA,RB,25-211,56,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,James Rodríguez,10,co COL,"FW,MF",25-214,34,0,0,0,0,0,0,1,0,2,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Nacho,6,es ESP,CB,27-024,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Sergio Ramos,4,es ESP,CB,30-318,90,0,0,0,0,1,0,0,0,1,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Raphaël Varane,5,fr FRA,CB,23-292,90,0,0,0,0,0,0,0,0,2,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/11/17,La Liga,Osasuna,Keylor Navas,1,cr CRC,GK,30-058,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/447e071d/Osasuna-Real-Madrid-February-11-2017-La-Liga
2/15/17,Champions League,Napoli,Karim Benzema,9,fr FRA,FW,29-058,82,1,0,0,0,5,3,0,0,0,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Álvaro Morata,21,es ESP,FW,24-115,8,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Cristiano Ronaldo,7,pt POR,FW,32-010,90,0,1,0,0,3,0,0,0,1,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,James Rodríguez,10,co COL,FW,25-218,76,0,0,0,0,1,1,0,0,2,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Lucas Vázquez,17,es ESP,"DF,FW",25-229,14,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Toni Kroos,8,de GER,CM,27-042,90,1,0,0,0,1,1,0,0,3,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Casemiro,14,br BRA,CM,24-358,90,1,0,0,0,2,1,0,0,7,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Luka Modrić,19,hr CRO,CM,31-159,90,0,0,0,0,3,0,1,0,3,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Marcelo,12,br BRA,LB,28-279,90,0,0,0,0,3,0,0,0,1,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Sergio Ramos,4,es ESP,CB,30-322,71,0,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Pepe,3,pt POR,"DF,MF",33-355,19,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Raphaël Varane,5,fr FRA,CB,23-296,90,0,0,0,0,1,0,0,0,2,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Dani Carvajal,2,es ESP,RB,25-035,90,0,1,0,0,0,0,0,0,2,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/15/17,Champions League,Napoli,Keylor Navas,1,cr CRC,GK,30-062,90,0,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/21568f0d/Real-Madrid-Napoli-February-15-2017-Champions-League
2/18/17,La Liga,Espanyol,Álvaro Morata,21,es ESP,FW,24-118,70,1,0,0,0,2,1,0,0,0,https://fbref.com/en/matches/ea82b891/Real-Madrid-Espanyol-February-18-2017-La-Liga
2/18/17,La Liga,Espanyol,Gareth Bale,11,wls WAL,"FW,MF",27-217,20,1,0,0,0,1,1,0,0,0,https://fbref.com/en/matches/ea82b891/Real-Madrid-Espanyol-February-18-2017-La-Liga
2/18/17,La Liga,Espanyol,Cristiano Ronaldo,7,pt POR,FW,32-013,90,0,0,0,0,3,0,0,0,0,https://fbref.com/en/matches/ea82b891/Real-Madrid-Espanyol-February-18-2017-La-Liga
2/18/17,La Liga,Espanyol,Lucas Vázquez,17,es ESP,FW,25-232,90,0,0,0,0,1,0,0,0,0,https://fbref.com/en/matches/ea82b891/Real-Madrid-Espanyol-February-18-2017-La-Liga
2/18/17,La Liga,Espanyol,Mateo Kovačić,16,hr CRO,CM,22-288,60,0,0,0,0,0,0,1,0,0,https://fbref.com/en/matches/ea82b891/Real-Madrid-Espanyol-February-18-2017-La-Liga
2/18/17,La Liga,Espanyol,Casemiro,14,br BRA,MF,24-361,30,0,0,0,0,1,0,1,0,1,https://fbref.com/en/matches/ea82b891/Real-Madrid-Espanyol-February-18-2017-La-Liga
2/18/17,La Liga,Espanyol,Toni Kroos,8,de GER,CM,27-045,90,0,0,0,0,1,0,0,0,3,https://fbref.com/en/matches/ea82b891/Real-Madrid-Espanyol-February-18-2017-La-Liga
