Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
9/1/18,La Liga,Leganes,Raphaël Varane,5,fr FRA,CB,25-129,90,0,0,0,0,1,0,0,0,0,89,2,0,0,0,0,0,0,79,85,92.9,3,65,1,1,1,2,1,2,0,0,1,1,100,0,0,0,0,0,2,1,0,79,85,92.9,1686,556,24,25,96,38,40,95,15,16,93.8,0,0,0,0,6,0,0,3,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Dani Carvajal,2,es ESP,RB,26-233,90,0,1,0,0,0,0,0,0,2,112,2,0,0,0,0.5,6,1,98,105,93.3,5,85,5,3,3,2,2,0,2,0,1,1,100,0,0,0,0,2,4,1,0,98,105,93.3,1623,428,48,50,96,36,38,94.7,9,9,100,1,0.5,0.2,4,6,3,1,5,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/1/18,La Liga,Leganes,Thibaut Courtois,25,be BEL,GK,26-113,90,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,23,23,100,0,15,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,23,23,100,578,335,4,4,100,12,12,100,7,7,100,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/273a53fc/Real-Madrid-Leganes-September-1-2018-La-Liga
9/15/18,La Liga,Athletic Club,Karim Benzema,9,fr FRA,FW,30-270,90,0,0,0,0,2,0,0,0,0,48,1,0,0.1,0.1,0,2,0,28,39,71.8,3,29,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,28,39,71.8,413,23,17,23,73.9,9,13,69.2,2,2,100,0,0,0,0,2,0,0,3,https://fbref.com/en/matches/bb5953f9/Athletic-Club-Real-Madrid-September-15-2018-La-Liga
9/15/18,La Liga,Athletic Club,Marco Asensio,20,es ESP,LW,22-237,90,0,0,0,0,3,2,0,0,0,59,0,0,0.4,0.4,0,2,0,41,50,82,5,45,5,4,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,41,50,82,535,104,26,32,81.3,13,15,86.7,0,0,,0,0,0.2,0,1,3,0,5,https://fbref.com/en/matches/bb5953f9/Athletic-Club-Real-Madrid-September-15-2018-La-Liga
9/15/18,La Liga,Athletic Club,Gareth Bale,11,wls WAL,RW,29-061,74,0,1,0,0,4,1,0,0,1,40,0,2,0.2,0.2,0.4,3,1,21,31,67.7,4,27,0,2,1,0,0,0,0,0,0,1,0,1,2,0,2,1,1,0,0,21,31,67.7,322,114,15,17,88.2,5,8,62.5,1,3,33.3,1,0.4,0.4,1,3,1,1,4,https://fbref.com/en/matches/bb5953f9/Athletic-Club-Real-Madrid-September-15-2018-La-Liga
9/15/18,La Liga,Athletic Club,Lucas Vázquez,17,es ESP,RW,27-076,16,0,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,0,9,14,64.3,0,11,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,9,14,64.3,167,4,3,4,75,5,6,83.3,1,2,50,0,0,0,0,0,0,0,0,https://fbref.com/en/matches/bb5953f9/Athletic-Club-Real-Madrid-September-15-2018-La-Liga
9/15/18,La Liga,Athletic Club,Dani Ceballos,24,es ESP,LM,22-039,45,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,2,0,25,28,89.3,2,23,0,0,0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,25,28,89.3,357,66,16,17,94.1,8,8,100,0,0,,0,0,0,1,3,0,0,2,https://fbref.com/en/matches/bb5953f9/Athletic-Club-Real-Madrid-September-15-2018-La-Liga
9/15/18,La Liga,Athletic Club,Casemiro,14,br BRA,CM,26-204,45,0,0,0,0,0,0,0,0,0,34,1,1,0,0,0.1,1,0,24,29,82.8,4,18,2,1,1,1,0,0,1,0,1,3,33.3,2,1,0,1,0,1,2,0,24,29,82.8,420,124,12,13,92.3,8,8,100,3,4,75,0,0.1,0,1,1,1,0,4,https://fbref.com/en/matches/bb5953f9/Athletic-Club-Real-Madrid-September-15-2018-La-Liga
9/15/18,La Liga,Athletic Club,Toni Kroos,8,de GER,"LM,CM",28-254,90,0,0,0,0,0,0,0,0,0,83,0,2,0,0,0,2,1,72,77,93.5,8,59,3,0,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,72,77,93.5,1447,465,29,29,100,31,34,91.2,12,13,92.3,0,0,0.1,0,9,0,0,8,https://fbref.com/en/matches/bb5953f9/Athletic-Club-Real-Madrid-September-15-2018-La-Liga
