Date,Competition,Opponent,Player,#,Nation,Pos,Age,Min, Gls, Ast, PK, PKatt, Sh, SoT, CrdY, CrdR, Int, Touches, Tkl, Blocks,Expected xG,Expected npxG,Expected xAG,SCA,GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match URL
9/9/17,La Liga,Levante,Lucas Vázquez,17,es ESP,RW,26-070,71,1,0,0,0,1,1,0,0,0,37,3,1,1,1,0.3,4,0,22,28,78.6,3,29,3,2,1,3,2,2,1,0,0,1,0,1,1,0,1,0,3,0,0,22,28,78.6,394,71,10,10,100,4,6,66.7,5,7,71.4,0,0.3,0.2,2,0,3,2,3,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Mateo Kovačić,23,hr CRO,"RW,DM",23-126,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,75,2,4,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,4,75,72,27,1,1,100,1,2,50,1,1,100,0,0,0,0,1,0,0,2,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Marco Asensio,20,es ESP,"AM,RW",21-231,90,0,0,0,0,4,2,0,0,0,49,0,0,0.5,0.5,0,1,0,35,43,81.4,7,35,4,2,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,35,43,81.4,508,162,26,27,96.3,6,9,66.7,3,6,50,0,0,0.1,1,8,2,0,7,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Toni Kroos,8,de GER,DM,27-248,90,0,0,0,0,3,2,0,0,0,102,1,2,0.1,0.1,0.2,5,0,81,96,84.4,22,68,3,1,1,1,1,0,1,0,1,1,100,0,2,1,1,0,1,0,0,81,96,84.4,1635,540,31,33,93.9,36,41,87.8,12,19,63.2,0,0.2,0.2,3,17,2,0,22,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Marcos Llorente,18,es ESP,DM,22-222,61,0,0,0,0,1,0,0,0,0,55,1,0,0,0,0,1,0,48,52,92.3,3,49,0,1,1,1,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,48,52,92.3,840,119,21,23,91.3,22,23,95.7,4,5,80,0,0,0,0,1,0,0,3,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Isco,22,es ESP,"DM,AM",25-141,29,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0.6,5,0,26,31,83.9,10,28,4,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,26,31,83.9,410,137,12,13,92.3,12,14,85.7,1,2,50,0,0.6,0.5,2,5,2,1,10,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Theo Hernández,15,fr FRA,LB,19-338,90,0,0,0,0,0,0,0,0,1,69,0,1,0,0,0,1,0,47,61,77,6,46,5,1,0,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0,47,61,77,658,186,34,39,87.2,9,12,75,3,6,50,0,0,0.1,0,3,2,1,6,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Sergio Ramos,4,es ESP,CB,31-163,90,0,0,0,0,1,1,1,0,3,111,0,1,0.1,0.1,0.4,3,1,93,106,87.7,11,83,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,3,3,2,0,93,106,87.7,1637,772,38,39,97.4,44,49,89.8,8,14,57.1,0,0.4,0.2,1,15,1,0,11,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Nacho,6,es ESP,CB,27-234,90,0,0,0,0,1,0,0,0,3,63,2,1,0.1,0.1,0,2,0,51,56,91.1,1,40,1,0,0,2,1,2,0,0,0,0,,0,1,0,1,3,5,0,0,51,56,91.1,811,206,25,27,92.6,22,23,95.7,2,3,66.7,0,0,0,0,2,0,0,1,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
9/9/17,La Liga,Levante,Dani Carvajal,2,es ESP,RB,25-241,90,0,0,0,0,1,1,1,0,1,84,2,3,0,0,0.1,5,0,62,72,86.1,8,41,2,1,1,2,2,2,0,0,1,2,50,1,3,1,2,1,3,3,1,62,72,86.1,1103,307,30,35,85.7,22,24,91.7,7,10,70,0,0.1,0.2,1,6,2,1,8,https://fbref.com/en/matches/c638c636/Real-Madrid-Levante-September-9-2017-La-Liga
